converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
32,141,359,100,133,391
,,,100,10000,0
21,111,196,100,95,413
23,116,72,100,106,398
34,142,339,100,124,1
,,,100,10000,0
30,140,309,100,129,355
,,,100,10000,0
65,142,350,100,115,4
99,142,284,100,142,341
43,139,164,100,121,341
37,142,332,100,129,363
17,92,353,100,83,1
84,142,303,100,141,349
92,142,370,100,139,368
23,113,5,100,105,407
21,104,68,100,90,401
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
23,117,69,100,84,375
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
47,142,313,100,130,290
23,113,19,100,98,366
,,,100,10000,0
,,,100,10000,0
23,115,60,100,91,364
45,142,320,100,124,374
23,121,234,100,110,410
27,140,59,100,126,384
57,142,226,100,139,321
,,,100,10000,0
25,123,2,100,106,8
64,142,315,100,118,410
,,,100,10000,0
44,142,306,100,127,378
25,127,76,100,112,6
50,142,326,100,136,346
15,81,270,100,64,325
,,,100,10000,0
33,137,100,100,96,387
24,121,154,100,106,364
90,142,324,100,142,379
,,,100,10000,0
48,142,323,100,133,396
21,112,306,100,95,376
83,142,361,100,142,418
,,,100,10000,0
45,142,296,100,134,348
53,141,346,100,134,355
83,142,181,100,141,336
99,141,319,100,137,5
42,142,361,100,133,349
19,94,12,100,82,366
24,122,295,100,114,394
61,142,298,100,132,392
27,133,81,100,96,397
,,,100,10000,0
99,142,276,100,142,321
,,,100,10000,0
,,,100,10000,0
34,142,289,100,117,9
40,142,384,100,134,431
31,141,191,100,117,386
38,142,344,100,134,1
62,142,320,100,126,356
21,103,115,100,92,360
23,121,284,100,100,383
36,142,280,100,102,371
51,141,152,100,140,397
25,125,51,100,104,393
23,121,346,100,99,391
,,,100,10000,0
55,142,258,100,130,389